Country,Freedom,GDP,Generosity,Government_Corruption,Happiness_Score,Life_Expectancy,Social_Support,Year,Happiness
Switzerland,0.66557,1.39651,0.29678,0.41978,7.587,0.94143,1.34951,2015,Happy
Iceland,0.62877,1.30232,0.4363,0.14145,7.561,0.94784,1.40223,2015,Happy
Denmark,0.64938,1.32548,0.34139,0.48357,7.527,0.87464,1.36058,2015,Happy
Norway,0.66973,1.459,0.34699,0.36503,7.522,0.88521,1.33095,2015,Happy
Canada,0.63297,1.32629,0.45811,0.32957,7.427,0.90563,1.32261,2015,Happy
Finland,0.64169,1.29025,0.23351,0.41372,7.406,0.88911,1.31826,2015,Happy
Netherlands,0.61576,1.32944,0.4761,0.31814,7.378,0.89284,1.28017,2015,Happy
Sweden,0.6598,1.33171,0.36262,0.43844,7.364,0.91087,1.28907,2015,Happy
New Zealand,0.63938,1.25018,0.47501,0.42922,7.286,0.90837,1.31967,2015,Happy
Australia,0.65124,1.33358,0.43562,0.35637,7.284,0.93156,1.30923,2015,Happy
Israel,0.41319,1.22857,0.33172,0.07785,7.278,0.91387,1.22393,2015,Happy
Costa Rica,0.63376,0.95578,0.25497,0.10583,7.226,0.86027,1.23788,2015,Happy
Austria,0.62433,1.33723,0.33088,0.18676,7.2,0.89042,1.29704,2015,Happy
Mexico,0.48181,1.02054,0.14074,0.21312,7.187,0.81444,0.91451,2015,Happy
United States,0.54604,1.39451,0.40105,0.1589,7.119,0.86179,1.24711,2015,Happy
Brazil,0.49049,0.98124,0.14574,0.17521,6.983,0.69702,1.23287,2015,Happy
Luxembourg,0.61583,1.56391,0.28034,0.37798,6.946,0.91894,1.21963,2015,Happy
Ireland,0.61777,1.33596,0.45901,0.28703,6.94,0.89533,1.36948,2015,Happy
Belgium,0.5845,1.30782,0.2225,0.2254,6.937,0.89667,1.28566,2015,Happy
United Arab Emirates,0.64157,1.42727,0.26428,0.38583,6.901,0.80925,1.12575,2015,Happy
United Kingdom,0.59625,1.26637,0.51912,0.32067,6.867,0.90943,1.28548,2015,Happy
Oman,0.63274,1.36011,0.21542,0.32524,6.853,0.76276,1.08182,2015,Happy
Venezuela,0.42908,1.04424,0.05841,0.11069,6.81,0.72052,1.25596,2015,Happy
Singapore,0.54252,1.52186,0.31105,0.4921,6.798,1.02525,1.02,2015,Happy
Panama,0.5421,1.06353,0.24434,0.0927,6.786,0.79661,1.1985,2015,Happy
Germany,0.61477,1.32792,0.28214,0.21843,6.75,0.89186,1.29937,2015,Happy
Chile,0.44132,1.10715,0.33363,0.12869,6.67,0.85857,1.12447,2015,Happy
Qatar,0.6404,1.69042,0.32573,0.52208,6.611,0.79733,1.0786,2015,Happy
France,0.55011,1.27778,0.12332,0.20646,6.575,0.94579,1.26038,2015,Happy
Argentina,0.44974,1.05351,0.11451,0.08484,6.574,0.78723,1.24823,2015,Happy
Czech Republic,0.46364,1.17898,0.10686,0.02652,6.505,0.84483,1.20643,2015,Happy
Uruguay,0.60362,1.06166,0.2324,0.24558,6.485,0.8116,1.2089,2015,Happy
Colombia,0.53466,0.91861,0.18401,0.0512,6.477,0.69077,1.24018,2015,Happy
Thailand,0.55664,0.9669,0.5763,0.03187,6.455,0.7385,1.26504,2015,Happy
Saudi Arabia,0.31048,1.39541,0.13706,0.32524,6.411,0.72025,1.08393,2015,Happy
Spain,0.45951,1.23011,0.18227,0.06398,6.329,0.95562,1.31379,2015,Happy
Malta,0.60365,1.2074,0.51752,0.13586,6.302,0.88721,1.30203,2015,Happy
Taiwan,0.3974,1.29098,0.25376,0.08129,6.298,0.8753,1.07617,2015,Happy
Kuwait,0.55499,1.55422,0.16228,0.25609,6.295,0.72492,1.16594,2015,Happy
Suriname,0.59657,0.99534,0.16991,0.13633,6.269,0.6082,0.972,2015,Happy
Trinidad and Tobago,0.55884,1.21183,0.31844,0.0114,6.168,0.61483,1.18354,2015,Happy
El Salvador,0.4035,0.76454,0.10692,0.11776,6.13,0.67737,1.02507,2015,Happy
Guatemala,0.57733,0.74553,0.27489,0.09472,6.123,0.64425,1.04356,2015,Happy
Uzbekistan,0.65821,0.63244,0.22837,0.30826,6.003,0.59772,1.34043,2015,Happy
Slovakia,0.31751,1.16891,0.16893,0.03431,5.995,0.78902,1.26999,2015,Happy
Japan,0.49615,1.27074,0.10705,0.1806,5.987,0.99111,1.25712,2015,Happy
South Korea,0.33208,1.24461,0.18557,0.07857,5.984,0.96538,0.95774,2015,Happy
Ecuador,0.48574,0.86402,0.11541,0.1809,5.975,0.79075,0.99903,2015,Happy
Bahrain,0.45492,1.32376,0.17362,0.306,5.96,0.74716,1.21624,2015,Happy
Italy,0.26236,1.25114,0.22823,0.02901,5.948,0.95446,1.19777,2015,Happy
Bolivia,0.57414,0.68133,0.20536,0.088,5.89,0.5392,0.97841,2015,Happy
Moldova,0.32818,0.59448,0.20951,0.01615,5.889,0.61826,1.01528,2015,Happy
Paraguay,0.53899,0.75985,0.3424,0.08242,5.878,0.66098,1.30477,2015,Happy
Kazakhstan,0.51649,1.12254,0.11827,0.08454,5.855,0.64368,1.12241,2015,Happy
Slovenia,0.60855,1.18498,0.25328,0.03787,5.848,0.87337,1.27385,2015,Happy
Lithuania,0.21342,1.14723,0.02641,0.01031,5.833,0.73128,1.25745,2015,Happy
Nicaragua,0.55475,0.59325,0.27815,0.19317,5.828,0.74314,1.14184,2015,Happy
Peru,0.41496,0.90019,0.14982,0.05989,5.824,0.73017,0.97459,2015,Happy
Belarus,0.37938,1.03192,0.11046,0.1909,5.813,0.73608,1.23289,2015,Happy
Poland,0.53122,1.12555,0.16759,0.04212,5.791,0.77903,1.27948,2015,Happy
Malaysia,0.53024,1.12486,0.33075,0.10501,5.77,0.72394,1.07023,2015,Happy
Croatia,0.25883,1.08254,0.05444,0.0243,5.759,0.78805,0.79624,2015,Happy
Libya,0.41668,1.13145,0.18295,0.11023,5.754,0.7038,1.11862,2015,Happy
Russia,0.36679,1.13764,0.00199,0.03005,5.716,0.66926,1.23617,2015,Happy
Jamaica,0.50442,0.81038,0.2123,0.02299,5.709,0.68741,1.15102,2015,Happy
North Cyprus,0.49027,1.20806,0.26169,0.1428,5.695,0.92356,1.07008,2015,Happy
Cyprus,0.40672,1.20813,0.30638,0.06146,5.689,0.92356,0.89318,2015,Happy
Algeria,0.28579,0.93929,0.07822,0.17383,5.605,0.61766,1.07772,2015,Happy
Kosovo,0.24749,0.80148,0.2831,0.04741,5.589,0.63132,0.81198,2015,Happy
Turkmenistan,0.4761,0.95847,0.16979,0.30844,5.548,0.53886,1.22668,2015,Happy
Mauritius,0.56066,1.00761,0.37744,0.07521,5.477,0.7095,0.98521,2015,Happy
Hong Kong,0.59608,1.38604,0.39478,0.37124,5.474,1.01328,1.05818,2015,Happy
Estonia,0.44888,1.15174,0.0868,0.15184,5.429,0.77361,1.22791,2015,Happy
Indonesia,0.46611,0.82827,0.51535,0,5.399,0.63793,1.08708,2015,Happy
Vietnam,0.59444,0.63216,0.1686,0.10441,5.36,0.74676,0.91226,2015,Happy
Turkey,0.22815,1.06098,0.12253,0.15746,5.332,0.73172,0.94632,2015,Happy
Kyrgyzstan,0.43477,0.47428,0.3003,0.04232,5.286,0.65088,1.15115,2015,Happy
Nigeria,0.34334,0.65435,0.27233,0.0403,5.268,0.16007,0.90432,2015,Happy
Bhutan,0.53206,0.77042,0.47998,0.15445,5.253,0.57407,1.10395,2015,Happy
Azerbaijan,0.3703,1.02389,0.07799,0.16065,5.212,0.64045,0.93793,2015,Happy
Pakistan,0.12102,0.59543,0.33671,0.10464,5.194,0.51466,0.41411,2015,Happy
Jordan,0.40661,0.90198,0.11053,0.14293,5.192,0.69639,1.05392,2015,Happy
Montenegro,0.1826,0.97438,0.1614,0.14296,5.192,0.72521,0.90557,2015,Happy
China,0.51697,0.89012,0.08185,0.02781,5.14,0.81658,0.94675,2015,Happy
Zambia,0.48827,0.47038,0.19591,0.12468,5.129,0.29924,0.91612,2015,Happy
Romania,0.35068,1.04345,0.13748,0.00649,5.124,0.7689,0.88588,2015,Happy
Serbia,0.20107,0.92053,0.19231,0.02617,5.123,0.74836,1.00964,2015,Happy
Portugal,0.51469,1.15991,0.13719,0.01078,5.102,0.87519,1.13935,2015,Happy
Latvia,0.29671,1.11312,0.18226,0.06332,5.098,0.72437,1.09562,2015,Happy
Philippines,0.62545,0.70532,0.24991,0.12279,5.073,0.58114,1.03516,2015,Happy
Somaliland region,0.46582,0.18847,0.50318,0.39928,5.057,0.43873,0.95152,2015,Happy
Morocco,0.41691,0.73479,0.07172,0.08546,5.013,0.60954,0.64095,2015,Happy
Macedonia,0.33457,0.91851,0.22359,0.05327,5.007,0.73545,1.00232,2015,Happy
Mozambique,0.34037,0.08308,0.22269,0.15603,4.971,0.09131,1.02626,2015,Happy
Albania,0.35733,0.87867,0.14272,0.06413,4.959,0.81325,0.80434,2015,Happy
Bosnia and Herzegovina,0.09245,0.83223,0.24808,0.00227,4.949,0.79081,0.91916,2015,Happy
Lesotho,0.31767,0.37545,0.16388,0.12504,4.898,0.07612,1.04103,2015,Happy
Dominican Republic,0.57672,0.89537,0.21684,0.14234,4.885,0.66825,1.17202,2015,Happy
Laos,0.59591,0.59066,0.42192,0.24249,4.876,0.54909,0.73803,2015,Happy
Mongolia,0.43626,0.82819,0.3323,0.02666,4.874,0.60268,1.3006,2015,Happy
Swaziland,0.30658,0.71206,0.18259,0.0306,4.867,0.07566,1.07284,2015,Happy
Greece,0.07699,1.15406,0,0.01397,4.857,0.88213,0.92933,2015,Happy
Lebanon,0.33916,1.02564,0.21854,0.04582,4.839,0.83947,0.80001,2015,Happy
Hungary,0.32112,1.12094,0.128,0.02758,4.8,0.75905,1.20215,2015,Happy
Honduras,0.40148,0.59532,0.23027,0.06825,4.788,0.6951,0.95348,2015,Happy
Tajikistan,0.47216,0.39047,0.22974,0.15072,4.786,0.57379,0.85563,2015,Happy
Tunisia,0.26268,0.88113,0.06431,0.06358,4.739,0.73793,0.60429,2015,Happy
Palestinian Territories,0.24499,0.59867,0.11251,0.12905,4.715,0.66015,0.92558,2015,Happy
Bangladesh,0.4082,0.39753,0.21222,0.12569,4.694,0.60164,0.43106,2015,Happy
Iran,0.30033,1.0088,0.38086,0.05863,4.686,0.69805,0.54447,2015,Happy
Ukraine,0.25123,0.79907,0.15275,0.02961,4.681,0.6739,1.20278,2015,Happy
Iraq,0,0.98549,0.17922,0.13788,4.677,0.60237,0.81889,2015,Happy
South Africa,0.33207,0.92049,0.11973,0.08884,4.642,0.27688,1.18468,2015,Happy
Ghana,0.42342,0.54558,0.23087,0.04355,4.633,0.40132,0.67954,2015,Happy
Zimbabwe,0.25861,0.271,0.18987,0.08079,4.61,0.33475,1.03276,2015,Happy
Liberia,0.28531,0.0712,0.24362,0.06232,4.571,0.34201,0.78968,2015,Happy
India,0.39786,0.64499,0.26475,0.08492,4.565,0.51529,0.38174,2015,Happy
Sudan,0.10081,0.52107,0.19062,0.1466,4.55,0.36878,1.01404,2015,Happy
Haiti,0.24425,0.26673,0.46187,0.17175,4.518,0.38847,0.74302,2015,Happy
Congo (Kinshasa),0.22605,0,0.24834,0.07625,4.517,0.09806,1.0012,2015,Happy
Nepal,0.38282,0.35997,0.32296,0.05907,4.514,0.56874,0.86449,2015,Happy
Ethiopia,0.4345,0.19073,0.24325,0.15048,4.512,0.44055,0.60406,2015,Happy
Sierra Leone,0.4084,0.33024,0.21488,0.08786,4.507,0,0.95571,2015,Happy
