Country,Freedom2015,Freedom2016,Freedom2017,Freedom2018,Freedom2019,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,Generosity2015,Generosity2016,Generosity2017,Generosity2018,Generosity2019,Government_Corruption2015,Government_Corruption2016,Government_Corruption2017,Government_Corruption2018,Government_Corruption2019,Happiness_Score2015,Happiness_Score2016,Happiness_Score2017,Happiness_Score2018,Happiness_Score2019,Life_Expectancy2015,Life_Expectancy2016,Life_Expectancy2017,Life_Expectancy2018,Life_Expectancy2019,Social_Support2015,Social_Support2016,Social_Support2017,Social_Support2018,Social_Support2019,Happiness2015,Happiness2016,Happiness2017,Happiness2018,Happiness2019
Afghanistan,0.23414,0.1643,0.10617952,0.085,0,0.31982,0.38227,0.401477218,0.332,0.35,0.3651,0.31268,0.311870933,0.191,0.158,0.09719,0.07112,0.06115783,0.036,0.025,3.575,3.36,3.79399991,3.632,3.203,0.30335,0.17344,0.180746779,0.255,0.361,0.30285,0.11037,0.581543326,0.537,0.517,NotHappy,NotHappy,NotHappy,NotHappy,NotHappy
Albania,0.35733,0.31866,0.381498635,0.419,0.383,0.87867,0.9553,0.996192753,0.916,0.947,0.14272,0.1684,0.201312944,0.149,0.178,0.06413,0.05301,0.039864216,0.032,0.027,4.959,4.655,4.644000053,4.586,4.719,0.81325,0.73007,0.731159747,0.79,0.874,0.80434,0.50163,0.803685248,0.817,0.848,Happy,Happy,Happy,Happy,Happy
Algeria,0.28579,0.21006,0.233335808,0.077,0.086,0.93929,1.05266,1.091864467,0.979,1.002,0.07822,0.07044,0.069436647,0.055,0.073,0.17383,0.16157,0.14609611,0.135,0.114,5.605,6.355,5.872000217,5.295,5.211,0.61766,0.61804,0.617584646,0.687,0.785,1.07772,0.83309,1.146217465,1.154,1.16,Happy,Happy,Happy,Happy,Happy
Angola,0.10384,0.00589,0,0,0.44974,0.75778,0.84731,0.85842818,0.73,1.05351,0.12344,0.12071,0.09792649,0.079,0.11451,0.07122,0.08434,0.069720335,0.061,0.08484,4.033,3.866,3.795000076,3.795,6.574,0.16683,0.04991,0.049868666,0.269,0.78723,0.8604,0.66366,1.10441196,1.125,1.24823,Happy,NotHappy,NotHappy,NotHappy,Happy
Angola,0.00589,0,0,0.44974,0.42284,0.84731,0.85842818,0.73,1.05351,1.15137,0.12071,0.09792649,0.079,0.11451,0.10989,0.08434,0.069720335,0.061,0.08484,0.07296,3.866,3.795000076,3.795,6.574,6.65,0.04991,0.049868666,0.269,0.78723,0.69711,0.66366,1.10441196,1.125,1.24823,1.06612,NotHappy,NotHappy,NotHappy,Happy,Happy
Angola,0,0,0.44974,0.42284,0.494519204,0.85842818,0.73,1.05351,1.15137,1.185295463,0.09792649,0.079,0.11451,0.10989,0.109457061,0.069720335,0.061,0.08484,0.07296,0.059739888,3.795000076,3.795,6.574,6.65,6.598999977,0.049868666,0.269,0.78723,0.69711,0.695137084,1.10441196,1.125,1.24823,1.06612,1.440451145,NotHappy,NotHappy,Happy,Happy,Happy
Angola,0,0.44974,0.42284,0.494519204,0.57,0.73,1.05351,1.15137,1.185295463,1.073,0.079,0.11451,0.10989,0.109457061,0.062,0.061,0.08484,0.07296,0.059739888,0.054,3.795,6.574,6.65,6.598999977,6.388,0.269,0.78723,0.69711,0.695137084,0.744,1.125,1.24823,1.06612,1.440451145,1.468,NotHappy,Happy,Happy,Happy,Happy
Argentina,0.44974,0.42284,0.494519204,0.57,0.471,1.05351,1.15137,1.185295463,1.073,1.092,0.11451,0.10989,0.109457061,0.062,0.066,0.08484,0.07296,0.059739888,0.054,0.05,6.574,6.65,6.598999977,6.388,6.086,0.78723,0.69711,0.695137084,0.744,0.881,1.24823,1.06612,1.440451145,1.468,1.432,Happy,Happy,Happy,Happy,Happy
Argentina,0.42284,0.494519204,0.57,0.471,0.19847,1.15137,1.185295463,1.073,1.092,0.76821,0.10989,0.109457061,0.062,0.066,0.07855,0.07296,0.059739888,0.054,0.05,0.039,6.65,6.598999977,6.388,6.086,4.35,0.69711,0.695137084,0.744,0.881,0.7299,1.06612,1.440451145,1.468,1.432,0.77711,Happy,Happy,Happy,Happy,Happy
Argentina,0.494519204,0.57,0.471,0.19847,0.14037,1.185295463,1.073,1.092,0.76821,0.86086,0.109457061,0.062,0.066,0.07855,0.07793,0.059739888,0.054,0.05,0.039,0.03616,6.598999977,6.388,6.086,4.35,4.36,0.695137084,0.744,0.881,0.7299,0.64083,1.440451145,1.468,1.432,0.77711,0.62477,Happy,Happy,Happy,Happy,Happy
Argentina,0.57,0.471,0.19847,0.14037,0.198303267,1.073,1.092,0.76821,0.86086,0.900596738,0.062,0.066,0.07855,0.07793,0.083488092,0.054,0.05,0.039,0.03616,0.026674422,6.388,6.086,4.35,4.36,4.375999928,0.744,0.881,0.7299,0.64083,0.637524426,1.468,1.432,0.77711,0.62477,1.007483721,Happy,Happy,Happy,Happy,Happy
Argentina,0.471,0.19847,0.14037,0.198303267,0.26,1.092,0.76821,0.86086,0.900596738,0.816,0.066,0.07855,0.07793,0.083488092,0.077,0.05,0.039,0.03616,0.026674422,0.028,6.086,4.35,4.36,4.375999928,4.321,0.881,0.7299,0.64083,0.637524426,0.666,1.432,0.77711,0.62477,1.007483721,0.99,Happy,Happy,Happy,Happy,Happy
Armenia,0.19847,0.14037,0.198303267,0.26,0.283,0.76821,0.86086,0.900596738,0.816,0.85,0.07855,0.07793,0.083488092,0.077,0.095,0.039,0.03616,0.026674422,0.028,0.064,4.35,4.36,4.375999928,4.321,4.559,0.7299,0.64083,0.637524426,0.666,0.815,0.77711,0.62477,1.007483721,0.99,1.055,Happy,Happy,Happy,Happy,Happy
Armenia,0.14037,0.198303267,0.26,0.283,0.65124,0.86086,0.900596738,0.816,0.85,1.33358,0.07793,0.083488092,0.077,0.095,0.43562,0.03616,0.026674422,0.028,0.064,0.35637,4.36,4.375999928,4.321,4.559,7.284,0.64083,0.637524426,0.666,0.815,0.93156,0.62477,1.007483721,0.99,1.055,1.30923,Happy,Happy,Happy,Happy,Happy
Armenia,0.198303267,0.26,0.283,0.65124,0.56837,0.900596738,0.816,0.85,1.33358,1.44443,0.083488092,0.077,0.095,0.43562,0.47407,0.026674422,0.028,0.064,0.35637,0.32331,4.375999928,4.321,4.559,7.284,7.313,0.637524426,0.666,0.815,0.93156,0.8512,1.007483721,0.99,1.055,1.30923,1.10476,Happy,Happy,Happy,Happy,Happy
Armenia,0.26,0.283,0.65124,0.56837,0.601607382,0.816,0.85,1.33358,1.44443,1.484414935,0.077,0.095,0.43562,0.47407,0.47769925,0.028,0.064,0.35637,0.32331,0.30118373,4.321,4.559,7.284,7.313,7.28399992,0.666,0.815,0.93156,0.8512,0.843886793,0.99,1.055,1.30923,1.10476,1.510041952,Happy,Happy,Happy,Happy,Happy
